Category,Metric,Y1,Y2,Y3,Y4,Y5,Notes
REVENUE,Facility SaaS customers (cumulative),8,32,110,280,580,
REVENUE,Patients using platform,640,2560,8800,22400,46400,80 patients per facility average
REVENUE,Pharma licensing deals (cumulative),0,1,3,6,10,$500K-$5M each
REVENUE,Facility ARR,$480000,$1920000,$6600000,$16800000,$34800000,$6K per bed per year
REVENUE,DTx prescription ARR (post-510k Y3+),$0,$0,$4224000,$16128000,$44544000,$180/month × 20% penetration post-510k
REVENUE,Pharma licensing revenue,$0,$1500000,$3000000,$5000000,$5000000,Staggered milestone + royalty
REVENUE,Other/misc,$20000,$380000,$176000,$72000,$656000,
REVENUE,Total ARR,$500000,$3800000,$14000000,$38000000,$85000000,
,,,,,,,
HEADCOUNT,Engineering,3,6,10,15,22,
HEADCOUNT,Clinical / Medical Affairs,0,1,2,4,6,
HEADCOUNT,Sales & Marketing,0,2,5,10,16,
HEADCOUNT,Operations / G&A,1,2,3,5,8,
HEADCOUNT,Total FTE,4,11,20,34,52,
,,,,,,,
COSTS,Personnel (fully loaded),$600000,$2000000,$4500000,$8500000,$14500000,~$180K avg loaded cost
COSTS,Clinical & regulatory,$150000,$500000,$800000,$1200000,$1500000,FDA pathway + clinical studies
COSTS,Infrastructure (cloud / security),$30000,$150000,$400000,$800000,$1400000,Scales with user base
COSTS,Sales & marketing,$50000,$400000,$1200000,$3000000,$6000000,Growth marketing post-510k
COSTS,Legal / IP / patents,$40000,$200000,$500000,$400000,$300000,Heavy in Y2-Y3 for non-provisionals
COSTS,G&A,$50000,$200000,$600000,$1500000,$3000000,Office, insurance, audit
COSTS,Total OpEx,$920000,$3450000,$8000000,$15400000,$26700000,
,,,,,,,
FINANCIAL,Gross margin %,75%,80%,82%,84%,85%,Cloud SaaS + support
FINANCIAL,Gross profit,$375000,$3040000,$11480000,$31920000,$72250000,
FINANCIAL,EBITDA,-$545000,-$410000,$3480000,$16520000,$45550000,
FINANCIAL,EBITDA margin %,-109%,-11%,25%,43%,54%,
FINANCIAL,Cash burn (monthly),$77000,$38000,-$290000,-$1376000,-$3796000,Negative = generating cash
FINANCIAL,Cash balance (EOP),$4420000,$3970000,$7450000,$23970000,$69520000,Assumes $5M seed Y1 + $20M Series A Y3
,,,,,,,
MILESTONES,Key milestone,Seed + FDA submission + 3 pilots,510(k) clearance + first pharma deal,Series A + commercial launch + 3 pharma,EBITDA positive + 280 facilities,Strategic M&A or Series B opportunity,
